data;prodotto;prezzo;tax;netto;inc_tax;nation
01/06/2003;Benzina;1,032;0,713;0,318;0,69;ita
01/06/2003;Diesel;0,845;0,544;0,301;0,64;ita
01/07/2003;Benzina;1,045;0,716;0,329;0,68;ita
01/07/2003;Diesel;0,85;0,544;0,305;0,64;ita
01/08/2003;Benzina;1,065;0,719;0,346;0,67;ita
01/08/2003;Diesel;0,865;0,547;0,318;0,63;ita
01/09/2003;Benzina;1,071;0,72;0,351;0,67;ita
01/09/2003;Diesel;0,863;0,547;0,316;0,63;ita
01/10/2003;Benzina;1,043;0,715;0,328;0,68;ita
01/10/2003;Diesel;0,86;0,546;0,314;0,63;ita
01/11/2003;Benzina;1,043;0,715;0,327;0,68;ita
01/11/2003;Diesel;0,873;0,548;0,325;0,62;ita
01/12/2003;Benzina;1,036;0,714;0,322;0,68;ita
01/12/2003;Diesel;0,869;0,548;0,321;0,63;ita
01/01/2004;Benzina;1,047;0,731;0,316;0,69;ita
01/01/2004;Diesel;0,875;0,549;0,326;0,62;ita
01/02/2004;Benzina;1,063;0,735;0,327;0,69;ita
01/02/2004;Diesel;0,872;0,548;0,323;0,62;ita
01/03/2004;Benzina;1,082;0,739;0,343;0,68;ita
01/03/2004;Diesel;0,886;0,551;0,335;0,62;ita
01/04/2004;Benzina;1,096;0,741;0,355;0,67;ita
01/04/2004;Diesel;0,899;0,553;0,346;0,61;ita
01/05/2004;Benzina;1,131;0,747;0,384;0,66;ita
01/05/2004;Diesel;0,924;0,557;0,366;0,6;ita
01/06/2004;Benzina;1,148;0,749;0,398;0,65;ita
01/06/2004;Diesel;0,937;0,559;0,378;0,59;ita
01/07/2004;Benzina;1,146;0,749;0,397;0,65;ita
01/07/2004;Diesel;0,935;0,559;0,376;0,59;ita
01/08/2004;Benzina;1,156;0,751;0,405;0,64;ita
01/08/2004;Diesel;0,954;0,562;0,392;0,58;ita
01/09/2004;Benzina;1,155;0,751;0,404;0,65;ita
01/09/2004;Diesel;0,97;0,564;0,405;0,58;ita
01/10/2004;Benzina;1,168;0,753;0,415;0,64;ita
01/10/2004;Diesel;0,996;0,569;0,427;0,57;ita
01/11/2004;Benzina;1,168;0,753;0,414;0,64;ita
01/11/2004;Diesel;0,996;0,569;0,427;0,57;ita
01/12/2004;Benzina;1,132;0,747;0,385;0,65;ita
